,0
1979-07-01,-4.930238602640259
1979-07-02,-4.132950066387252
1979-07-03,-2.904097067254156
1979-07-04,-1.1587465158548866
1979-07-05,2.0897003173828352
1979-07-06,3.1632844599482723
1979-07-07,-1.9679508481118544
1979-07-08,-0.3796281983476888
1979-07-09,1.9823216151984864
1979-07-10,2.003760971827319
1979-07-11,2.271266922425468
1979-07-12,2.5657115895083398
1979-07-13,2.1279484001143487
1979-07-14,-0.4116513542686562
1979-07-15,-2.679949509556764
1979-07-16,-2.332107616449264
1979-07-17,-0.4445987050528401
1979-07-18,-5.407185142961964
1979-07-19,-4.355342995167803
1979-07-20,0.9978009810972708
1979-07-21,-0.3994559566094153
1979-07-22,-0.4318460155511161
1979-07-23,3.6034127616470073
1979-07-24,-1.0186006022838685
1979-07-25,-10.2117805299697
